overall_rank,feature,ftype,importance_mean,importance_std,importance_min,importance_max,rank_mean,rank_best,n_folds,n_protein_coding_genes,cancer_genes,top_cancer_genes
25,chr19q,arm,0.0115193952358602,0.0004546215988067,0.0109830797461008,0.0120511174522702,21.8,14,5,836.0,CCNE1,CCNE1
26,chr10q,arm,0.0114471638633601,0.0005339386168902,0.0107923567319388,0.0122148688931066,25.2,10,5,578.0,CTNNA3;FGFR2;PTEN,"CTNNA3, FGFR2, PTEN"
27,chr11p,arm,0.0114038140821837,0.0007847553770465,0.010598487929716,0.0123911853618952,25.8,13,5,450.0,TRIM44,TRIM44
28,chr2:90000001-95000000,window,0.0113240719897072,0.0005311816394462,0.0109070126123525,0.0119808477186745,26.8,20,5,2.0,,
29,chr16p,arm,0.0112914822532006,0.0005018034719199,0.0107176681510174,0.0120211578801128,27.6,15,5,472.0,CREBBP;PALB2,"CREBBP, PALB2"
30,chr2p,arm,0.0110354842304373,0.0004855334431459,0.0105718100152328,0.0118493034518129,30.4,22,5,473.0,MSH2,MSH2
31,chr14:90000001-95000000,window,0.0110021736090241,0.0002980434105051,0.0106799047445223,0.0113888345035175,30.0,21,5,55.0,,
32,chr14q,arm,0.0109969324271932,0.0005713764123168,0.0103920279080317,0.0116849266897202,31.2,21,5,619.0,,
33,chr22:50000001-50818468,window,0.010975611041885,0.0008898114739012,0.0096923880701344,0.011862689720977,30.0,18,5,32.0,,
34,chr7:60000001-65000000,window,0.0108846018456515,0.0008344965824761,0.0102309333204929,0.0123400097715668,32.6,14,5,11.0,,
35,chr22q,arm,0.0108415981485553,0.0008522748075431,0.0096796390601604,0.0118985515910208,32.0,20,5,447.0,CHEK2;EP300;NF2,"CHEK2, EP300, NF2"
36,chr8q,arm,0.0106946905512668,0.0009446227507097,0.00923208703155,0.0118648990580197,33.8,15,5,418.0,CCNE2;MYC,"CCNE2, MYC"
37,chr18p,arm,0.0106861037890739,0.0009136812349394,0.0095700206973952,0.0117681242533004,32.0,15,5,66.0,,
38,chr1:120000001-125000000,window,0.0105359038386647,0.0005637489282704,0.0099489401800883,0.0114387458760811,34.8,23,5,8.0,,
39,chr16q,arm,0.0104863934921378,0.000427091580938,0.0100250325548661,0.0111046176896921,38.2,30,5,384.0,CDH1;WWOX,"CDH1, WWOX"
40,chr15:20000001-25000000,window,0.0103662403615367,0.0008683593205122,0.009158023881753,0.0115301524646652,38.8,30,5,26.0,,
41,chr4p,arm,0.0102521284744482,0.001149829767555,0.0093208512273553,0.0122336546338175,38.6,16,5,234.0,,
42,chr1p,arm,0.0101779084686662,0.0004422792125385,0.0098122945907246,0.0108404712555765,39.6,34,5,1080.0,ARID1A,ARID1A
43,chr21:10000001-15000000,window,0.0096817640188905,0.000551623684557,0.008942901544329,0.0103697447236987,44.8,38,5,7.0,,
44,chr4:190000001-190214555,window,0.0095732174880422,0.0003978925873849,0.0092125606884583,0.0101566520084655,47.2,42,5,3.0,,
45,chr8:145000001-145138636,window,0.0095287476980943,0.0009684048069744,0.0079485679921613,0.010332921461684,45.6,35,5,1.0,,
46,chr9p,arm,0.0093643257544228,0.0006890889717971,0.0083366631517974,0.010258490089608,48.4,43,5,213.0,CDKN2A;CDKN2B,"CDKN2A, CDKN2B"
47,chr18:15000001-20000000,window,0.0092805398241018,0.0006914474023732,0.008518144659555,0.0099135057824926,49.0,42,5,0.0,,
48,chr15q,arm,0.0092289010012999,0.0014880573447914,0.0068587941662595,0.0106170479580279,49.0,40,5,603.0,RAD51,RAD51
49,chr13:15000001-20000000,window,0.0092270678642195,0.0003793470137792,0.008771789998215,0.0096733092996915,48.6,43,5,6.0,,
50,chr15:30000001-35000000,window,0.0090690911598815,0.0004510144187323,0.0086545006562092,0.0098268076007316,50.8,47,5,39.0,,
51,chr16:40000001-45000000,window,0.008733771224231,0.000241661022745,0.0085435923372601,0.0091425611288493,53.2,50,5,0.0,,
52,chr16:90000001-90338345,window,0.008733771224231,0.000241661022745,0.0085435923372601,0.0091425611288493,53.2,50,5,3.0,,
53,chr8:1-5000000,window,0.0087234102450875,0.0018451697056162,0.0055430808257932,0.0101829301586143,50.6,36,5,13.0,,
54,chr9q,arm,0.0086674880358671,0.0010683407673714,0.0069354843660645,0.0096786814810417,53.4,48,5,562.0,,
55,chr1q,arm,0.0086187353182483,0.0010914487533918,0.0073382460902218,0.0098925134364838,52.2,42,5,986.0,MCL1,MCL1
56,chr15:25000001-30000000,window,0.0084190178621544,0.0004200187327604,0.0080450131709749,0.0090895006984899,56.2,53,5,18.0,,
57,chr6:30000001-35000000,window,0.0083990117252496,0.0015543229844064,0.0073864358274479,0.011154970044392,53.6,30,5,174.0,,
58,chr9:40000001-45000000,window,0.0083558888528793,0.0008029016140125,0.0072862598252114,0.0094103243026428,55.4,51,5,4.0,,
59,chr6:25000001-30000000,window,0.0083071559821218,0.0009466074337687,0.0074885915709106,0.0099215519723051,55.6,45,5,124.0,,
60,chr8p,arm,0.0082451894566123,0.0014526512803872,0.0072321639439695,0.0106847681596563,55.4,39,5,287.0,GATA4,GATA4
61,chr17:35000001-40000000,window,0.0081997161870451,0.0022972858038799,0.0041548532044351,0.0096494081714819,55.8,44,5,102.0,ERBB2,ERBB2
62,chr17q,arm,0.0068056851770338,0.0012514546161884,0.0047429279831196,0.0079083855931526,65.6,60,5,840.0,BRCA1;ERBB2;NF1;SOX9,"BRCA1, ERBB2, NF1, SOX9"
63,chr1:125000001-130000000,window,0.0060905835512119,0.0004307063208141,0.005652200630294,0.006768036172721,65.2,61,5,0.0,,
64,chr1:140000001-145000000,window,0.0059477756526152,0.0002812322425767,0.0055610571547618,0.0062890017833059,65.2,63,5,6.0,,
65,chr1:135000001-140000000,window,0.0059116363573876,0.0004309393854802,0.0054663234906192,0.0063989452332669,67.6,62,5,0.0,,
66,chr14:95000001-100000000,window,0.0058618084316709,0.0002346666687515,0.005604982418202,0.0062325694509528,67.4,63,5,24.0,,
67,chr14:105000001-107043718,window,0.0058618084316709,0.0002346666687515,0.005604982418202,0.0062325694509528,67.4,63,5,15.0,,
68,chr14:100000001-105000000,window,0.0058618084316709,0.0002346666687515,0.005604982418202,0.0062325694509528,67.4,63,5,55.0,,
69,chr1:130000001-135000000,window,0.0058491091368456,0.0004061436221693,0.0053929197093631,0.0063656382856043,68.4,64,5,0.0,,
70,chr6:55000001-60000000,window,0.0057486735013438,0.0012082544333922,0.0038751664710777,0.007179247602845,67.8,60,5,12.0,,
71,chr9:60000001-65000000,window,0.0054715871680198,0.0004454843433526,0.0048829370012267,0.0059864126260483,70.4,65,5,3.0,,
72,chr9:45000001-50000000,window,0.0054715871680198,0.0004454843433526,0.0048829370012267,0.0059864126260483,70.4,65,5,0.0,,
73,chr9:50000001-55000000,window,0.0054715871680198,0.0004454843433526,0.0048829370012267,0.0059864126260483,70.4,65,5,0.0,,
74,chr9:55000001-60000000,window,0.0054715871680198,0.0004454843433526,0.0048829370012267,0.0059864126260483,70.4,65,5,0.0,,
75,chr6:1-5000000,window,0.0050260504028559,0.0004103613874877,0.0046298555138053,0.0055526084248312,75.8,68,5,27.0,,
76,chr6:5000001-10000000,window,0.0050260504028559,0.0004103613874877,0.0046298555138053,0.0055526084248312,75.8,68,5,20.0,,
77,chr6:10000001-15000000,window,0.0050260504028559,0.0004103613874877,0.0046298555138053,0.0055526084248312,75.8,68,5,28.0,,
78,chr6:15000001-20000000,window,0.0050260504028559,0.0004103613874877,0.0046298555138053,0.0055526084248312,75.8,68,5,18.0,,
79,chr6:20000001-25000000,window,0.0050260504028559,0.0004103613874877,0.0046298555138053,0.0055526084248312,75.8,68,5,19.0,,
80,chr6:35000001-40000000,window,0.0048933121019867,0.0006686046179504,0.0038751664710777,0.0057033692414853,76.0,73,5,56.0,,
81,chr6:40000001-45000000,window,0.0048933121019867,0.0006686046179504,0.0038751664710777,0.0057033692414853,76.0,73,5,88.0,VEGFA,VEGFA
82,chr6:45000001-50000000,window,0.0048933121019867,0.0006686046179504,0.0038751664710777,0.0057033692414853,76.0,73,5,30.0,,
83,chr6:50000001-55000000,window,0.0048933121019867,0.0006686046179504,0.0038751664710777,0.0057033692414853,76.0,73,5,29.0,,
84,chr17:30000001-35000000,window,0.0043092092640687,0.0003683050847585,0.003852117598172,0.0047642857107752,83.0,74,5,43.0,NF1,NF1
85,chr17:25000001-30000000,window,0.0043092092640687,0.0003683050847585,0.003852117598172,0.0047642857107752,83.0,74,5,53.0,,
86,chr13p,arm,0.0038936540910368,0.0002059720108025,0.0036476904462083,0.0042112850910593,87.0,83,5,0.0,,
87,chr22p,arm,0.0038936540910368,0.0002059720108025,0.0036476904462083,0.0042112850910593,87.0,83,5,0.0,,
88,chr21p,arm,0.0038936540910368,0.0002059720108025,0.0036476904462083,0.0042112850910593,87.0,83,5,1.0,,
89,chr14p,arm,0.0038936540910368,0.0002059720108025,0.0036476904462083,0.0042112850910593,87.0,83,5,0.0,,
90,chr15p,arm,0.0038936540910368,0.0002059720108025,0.0036476904462083,0.0042112850910593,87.0,83,5,0.0,,
91,chr8:15000001-20000000,window,0.0036152946128928,0.0004576894812587,0.0030402267901506,0.0042714542482067,90.2,86,5,22.0,,
92,chr8:20000001-25000000,window,0.0036152946128928,0.0004576894812587,0.0030402267901506,0.0042714542482067,90.2,86,5,50.0,,
93,chr8:25000001-30000000,window,0.0036152946128928,0.0004576894812587,0.0030402267901506,0.0042714542482067,90.2,86,5,32.0,,
94,chr8:30000001-35000000,window,0.0036152946128928,0.0004576894812587,0.0030402267901506,0.0042714542482067,90.2,86,5,20.0,,
95,chr8:35000001-40000000,window,0.0036152946128928,0.0004576894812587,0.0030402267901506,0.0042714542482067,90.2,86,5,31.0,,
96,chr8:40000001-45000000,window,0.0036152946128928,0.0004576894812587,0.0030402267901506,0.0042714542482067,90.2,86,5,28.0,,
97,chr8:10000001-15000000,window,0.0036152946128928,0.0004576894812587,0.0030402267901506,0.0042714542482067,90.2,86,5,33.0,GATA4,GATA4
98,chr8:5000001-10000000,window,0.0036152946128928,0.0004576894812587,0.0030402267901506,0.0042714542482067,90.2,86,5,61.0,,
99,chr14:10000001-15000000,window,0.0030324492798705,0.0005396704157682,0.0021709980414051,0.0035011953564169,109.4,91,5,0.0,,
100,chr17:60000001-65000000,window,0.0029395040551438,0.0003632199916352,0.0023209526407317,0.0032575217036521,105.4,99,5,54.0,,
101,chr17:55000001-60000000,window,0.0029395040551438,0.0003632199916352,0.0023209526407317,0.0032575217036521,105.4,99,5,54.0,,
102,chr17:80000001-83257441,window,0.0029395040551438,0.0003632199916352,0.0023209526407317,0.0032575217036521,105.4,99,5,77.0,,
103,chr17:50000001-55000000,window,0.0029395040551438,0.0003632199916352,0.0023209526407317,0.0032575217036521,105.4,99,5,35.0,,
104,chr17:45000001-50000000,window,0.0029395040551438,0.0003632199916352,0.0023209526407317,0.0032575217036521,105.4,99,5,84.0,,
105,chr17:40000001-45000000,window,0.0029395040551438,0.0003632199916352,0.0023209526407317,0.0032575217036521,105.4,99,5,185.0,BRCA1,BRCA1
106,chr17:65000001-70000000,window,0.0029395040551438,0.0003632199916352,0.0023209526407317,0.0032575217036521,105.4,99,5,29.0,,
107,chr17:70000001-75000000,window,0.0029395040551438,0.0003632199916352,0.0023209526407317,0.0032575217036521,105.4,99,5,37.0,SOX9,SOX9
108,chr17:75000001-80000000,window,0.0029395040551438,0.0003632199916352,0.0023209526407317,0.0032575217036521,105.4,99,5,93.0,,
109,chr15:65000001-70000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,47.0,,
110,chr15:70000001-75000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,55.0,,
111,chr15:55000001-60000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,34.0,,
112,chr15:50000001-55000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,30.0,,
113,chr15:45000001-50000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,31.0,,
114,chr15:40000001-45000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,103.0,RAD51,RAD51
115,chr15:35000001-40000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,12.0,,
116,chr15:75000001-80000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,52.0,,
117,chr15:80000001-85000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,42.0,,
118,chr15:85000001-90000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,32.0,,
119,chr15:100000001-101991189,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,15.0,,
120,chr15:90000001-95000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,30.0,,
121,chr15:95000001-100000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,10.0,,
122,chr15:60000001-65000000,window,0.0024408750562659,0.000497085507319,0.0021247381662188,0.0033159725797978,124.4,99,5,35.0,,
123,chr14:15000001-20000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,13.0,,
124,chr22:5000001-10000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
125,chr14:5000001-10000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
126,chr15:5000001-10000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
127,chr22:10000001-15000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
128,chr22:1-5000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
129,chr21:5000001-10000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
130,chr14:1-5000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
131,chr21:1-5000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
132,chr13:1-5000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
133,chr13:5000001-10000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
134,chr13:10000001-15000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
135,chr15:15000001-20000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
136,chr15:10000001-15000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
137,chr15:1-5000000,window,0.0023438872794289,0.0001267535365716,0.0021709980414051,0.0024829852047731,121.2,100,5,0.0,,
138,chr14:40000001-45000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,5.0,,
139,chr14:20000001-25000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,144.0,,
140,chr14:45000001-50000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,18.0,,
141,chr14:25000001-30000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,4.0,,
142,chr14:30000001-35000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,22.0,,
143,chr14:85000001-90000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,12.0,,
144,chr14:80000001-85000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,6.0,,
145,chr14:75000001-80000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,39.0,,
146,chr14:35000001-40000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,27.0,,
147,chr14:65000001-70000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,34.0,,
148,chr14:60000001-65000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,40.0,,
149,chr14:55000001-60000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,33.0,,
150,chr14:50000001-55000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,35.0,,
151,chr14:70000001-75000000,window,0.0022996504755056,8.999722883997988e-05,0.0021667881361732,0.0024035275675372,120.4,109,5,52.0,,
152,chr1:20000001-25000000,window,0.0016508422318058,0.0004291645561443,0.0010726897023462,0.0021727269357936,155.6,152,5,69.0,,
153,chr1:1-5000000,window,0.0014500347088789,0.0007871793185177,0.0004796519340466,0.0022945355184282,155.2,123,5,78.0,,
154,chr1:25000001-30000000,window,0.0013881279148262,0.0004058957364647,0.0010640787458557,0.0020025720955695,158.0,152,5,84.0,ARID1A,ARID1A
155,chr1:15000001-20000000,window,0.0013358190575417,0.0004213674854356,0.0007131827863066,0.0018049881285854,158.4,154,5,68.0,,
156,chr1:40000001-45000000,window,0.0013188985392587,0.000300993543228,0.0008876113659533,0.0015926395903984,159.0,153,5,78.0,,
157,chr1:50000001-55000000,window,0.0013002957481598,0.0002991505767001,0.0008180391135726,0.0015356497486582,159.4,154,5,61.0,,
158,chr1:10000001-15000000,window,0.0012263693926795,0.0005757647058352,0.0004023713448381,0.0018985807673181,162.0,153,5,71.0,,
159,chr1:70000001-75000000,window,0.0011763385552137,0.000437892645401,0.0007546533865829,0.0016800061386222,162.4,155,5,16.0,,
160,chr1:75000001-80000000,window,0.0011700910511544,0.0003528637730469,0.0006516314605394,0.0016179852803956,162.4,155,5,21.0,,
161,chr1:30000001-35000000,window,0.0011617250348742,0.0005228844190546,0.0005021827293444,0.0019381330812214,163.6,152,5,67.0,,
162,chr1:95000001-100000000,window,0.0011019125044446,0.0003882367212319,0.0006196825400473,0.0015704937963465,163.4,154,5,14.0,,
163,chr1:5000001-10000000,window,0.0010900341820968,0.0004941200818514,0.0006860158604092,0.001939841752344,164.6,154,5,45.0,,
164,chr1:35000001-40000000,window,0.0010825902531715,0.0003730197646452,0.0005531289113112,0.0015254709151978,163.6,153,5,65.0,,
165,chr1:105000001-110000000,window,0.0010392955384393,0.0003101661173696,0.0007012169924488,0.0013924412022173,164.4,160,5,41.0,,
166,chr1:100000001-105000000,window,0.00102701588925,0.000294796294972,0.0007089599000982,0.0013877194114336,166.6,155,5,23.0,,
167,chr1:65000001-70000000,window,0.0009998971953211,0.0002948864475983,0.0006780945896427,0.00139798533525,165.8,158,5,23.0,,
168,chr1:60000001-65000000,window,0.0009833752367763,0.0002576011708507,0.0007587315229843,0.0013971395472664,166.0,159,5,20.0,,
169,chr1:45000001-50000000,window,0.0009759608691848,0.0002992619359407,0.0006415719987345,0.0013702967743066,166.8,161,5,53.0,,
170,chr1:80000001-85000000,window,0.0009662683637808,0.0002119061763878,0.0006575883327481,0.001167041784849,166.0,159,5,13.0,,
171,chr1:90000001-95000000,window,0.0009532540168742,0.0001165157675558,0.0007882371815558,0.0010558272294198,166.8,161,5,32.0,,
172,chr1:85000001-90000000,window,0.0009403154486926,0.0001341460774749,0.0008025676458405,0.0011150296193329,166.2,164,5,35.0,,
173,chr1:55000001-60000000,window,0.000893861929221,0.0001549468353348,0.0007126120407287,0.0011301336883313,168.2,158,5,18.0,,
174,chr1:110000001-115000000,window,0.0008074570131705,0.000132518833646,0.0006666597321114,0.0010161288923141,169.2,162,5,60.0,,
175,chr1:115000001-120000000,window,0.000695007274084,0.0001500030057372,0.0005200332169689,0.0008667694739708,171.0,163,5,33.0,,
176,chr1:145000001-150000000,window,0.0005531775571682,0.0001521442030521,0.0003308821583391,0.0007461448678377,175.2,167,5,63.0,,
177,chr1:150000001-155000000,window,0.0005321994861021,0.0002066058688958,0.0003004480618079,0.0008511428153065,176.6,169,5,160.0,MCL1,MCL1
178,chr1:160000001-165000000,window,0.0004489566635918,0.0002280629806795,0.0001880534143778,0.0008145630293998,178.2,172,5,74.0,,
179,chr1:155000001-160000000,window,0.0004153461089392,0.0002526724459208,0.0001551720113609,0.0007760960351943,180.8,173,5,127.0,,
180,chr1:175000001-180000000,window,0.0003348943383635,0.0001090231448664,0.0002236552296849,0.0004848923557281,181.6,179,5,27.0,,
181,chr1:165000001-170000000,window,0.000326287450732,0.0002235527947237,0.0001611602203446,0.0007001082082758,183.8,175,5,42.0,,
182,chr1:195000001-200000000,window,0.0003113283932144,0.0001131654983111,0.0002053157056336,0.0004904281084538,182.2,177,5,18.0,,
183,chr1:180000001-185000000,window,0.0002929705865753,6.63879103101854e-05,0.0002249888436935,0.0003802544679755,182.4,180,5,33.0,,
184,chr1:215000001-220000000,window,0.000268413064391,5.488720249583779e-05,0.0001873034087555,0.0003241933716718,183.6,181,5,12.0,,
185,chr1:170000001-175000000,window,0.0002635477581178,0.0001816802068122,0.0001111589118942,0.0005759795589001,186.6,179,5,36.0,,
186,chr1:190000001-195000000,window,0.0002531261035414,2.9022455694099765e-05,0.0002242106457346,0.0002929604050555,184.6,178,5,11.0,,
187,chr1:205000001-210000000,window,0.0002374391269267,4.538248767335884e-05,0.0001634171544619,0.0002806056558901,184.6,179,5,59.0,,
188,chr1:185000001-190000000,window,0.0002294739276557,7.319682063168828e-05,0.0001677398971559,0.0003330453677693,185.8,181,5,11.0,,
189,chr1:210000001-215000000,window,0.0001960833480394,0.0001086473722313,6.02829502023755e-05,0.0003592556040036,188.2,181,5,30.0,,
190,chr1:200000001-205000000,window,0.0001688171223851,5.5521956321290135e-05,0.0001054551953654,0.0002493936281631,189.6,186,5,65.0,,
191,chr1:225000001-230000000,window,0.0001473529484938,7.500868252423923e-05,6.462183709447616e-05,0.0002359654330002,190.8,187,5,49.0,,
192,chr1:220000001-225000000,window,0.0001444616889798,7.355729733882664e-05,4.283318768172434e-05,0.0002355900501819,190.6,186,5,31.0,,
193,chr1:240000001-245000000,window,0.0001142216592443,5.337570823108615e-05,4.019498117497248e-05,0.0001750061255028,192.8,191,5,24.0,,
194,chr1:230000001-235000000,window,0.0001139172774723,1.2993321160169255e-05,0.0001036788773136,0.0001335585544893,193.0,191,5,29.0,,
195,chr1:235000001-240000000,window,0.0001103945505412,9.150828266456814e-05,3.509222797764696e-05,0.0002640543871925,193.2,185,5,21.0,,
196,chr1:245000001-248956422,window,4.558137808042829e-05,4.900983249889989e-05,1.3578084178487973e-05,0.0001318166535453,195.8,194,5,69.0,,
197,chr10:1-5000000,window,2.221902911789912e-05,1.8612902626767225e-05,1.1427936316279053e-05,5.525006597601923e-05,197.2,196,5,15.0,,
198,chr10:5000001-10000000,window,1.1892455095699068e-05,1.0242204362485e-05,3.456447768554327e-14,2.6059484883342583e-05,197.4,196,5,26.0,,
199,chr10:10000001-15000000,window,1.706926565959945e-14,1.5393504892648114e-14,6.186511467421652e-16,3.790834701308794e-14,199.0,199,5,26.0,,
200,chr10:15000001-20000000,window,9.622949308066732e-17,7.224015099308537e-17,8.921272445094638e-18,1.927265190144911e-16,200.2,200,5,24.0,,
